fps,lr,policy_loss,total_timesteps,approxkl,time_elapsed,eplenmean,d_targ,serial_timesteps,value_loss,explained_variance,beta,eprewmean,policy_entropy,nupdates
5105,0.0010125,-0.00568141,12894208,0.01245,2495.6854207515717,839.58,0.012,402944,0.102309,0.6061350703239441,0.732254,2363.39284717,0.780071,787
5188,0.0010125,-0.00782353,12910592,0.0123235,2498.843275308609,826.24,0.012,403456,0.0617362,0.5496208071708679,0.732254,2306.12384873,0.767726,788
5309,0.0010125,-0.00687809,12926976,0.0108181,2501.929347753525,808.3,0.012,403968,0.0808382,0.6398173868656158,0.732254,2328.86758627,0.747294,789
5296,0.0010125,-0.00595039,12943360,0.00959064,2505.0231881141663,814.34,0.012,404480,0.0628937,0.7178692519664764,0.732254,2345.17807304,0.737979,790
5235,0.0010125,-0.00802319,12959744,0.0120383,2508.153268098831,813.17,0.012,404992,0.0872084,0.4043830633163452,0.732254,2344.36964975,0.748129,791
5029,0.0010125,-0.00608121,12976128,0.0104464,2511.4113850593567,809.17,0.012,405504,0.067267,0.14812493324279785,0.732254,2348.31330008,0.762722,792
5098,0.0010125,-0.00696595,12992512,0.0114563,2514.6252734661102,840.82,0.012,406016,0.0837707,0.06896317005157471,0.732254,2509.09380917,0.762675,793
5207,0.0010125,-0.0064085,13008896,0.0110857,2517.771802663803,825.04,0.012,406528,0.0791493,0.5327015519142151,0.732254,2463.86459076,0.762549,794
5251,0.0010125,-0.00738699,13025280,0.0128281,2520.891831636429,786.72,0.012,407040,0.0961892,0.6158156394958496,0.732254,2368.16296224,0.759567,795
5198,0.0010125,-0.00502445,13041664,0.0123065,2524.0437796115875,813.24,0.012,407552,0.0615804,0.7760452032089233,0.732254,2435.41654495,0.761515,796
5215,0.0010125,-0.00718278,13058048,0.0110994,2527.185487270355,818.64,0.012,408064,0.0683384,0.6635702252388,0.732254,2393.89360837,0.746716,797
5196,0.0010125,-0.00536545,13074432,0.0105428,2530.3388102054596,813.37,0.012,408576,0.0692381,0.39093923568725586,0.732254,2362.70131711,0.731334,798
5199,0.0010125,-0.00752767,13090816,0.0109857,2533.490396261215,849.89,0.012,409088,0.0846598,0.5346916019916534,0.732254,2475.98042498,0.72454,799
5212,0.0010125,-0.00633522,13107200,0.0117713,2536.6342787742615,852.4,0.012,409600,0.0686018,0.765267089009285,0.732254,2459.30856018,0.720427,800
5135,0.0010125,-0.00725671,13123584,0.0124072,2539.826457977295,857.82,0.012,410112,0.0932213,0.5351700484752655,0.732254,2499.14012181,0.727984,801
5242,0.0010125,-0.00629533,13139968,0.0115082,2542.9518597126007,828.84,0.012,410624,0.0640882,0.5957552492618561,0.732254,2443.12944668,0.746318,802
5275,0.0010125,-0.00624659,13156352,0.0108935,2546.0579030513763,828.49,0.012,411136,0.0867681,0.3049752116203308,0.732254,2426.93152973,0.765585,803
5385,0.0010125,-0.00637026,13172736,0.0104769,2549.1004343032837,831.14,0.012,411648,0.0561727,0.6270011067390442,0.732254,2427.07377965,0.763925,804
5398,0.0010125,-0.00705013,13189120,0.0122807,2552.135708093643,847.2,0.012,412160,0.0904643,0.4570537805557251,0.732254,2502.15022102,0.74636,805
5350,0.0010125,-0.00714238,13205504,0.0118252,2555.1980266571045,848.95,0.012,412672,0.0634458,0.27553868293762207,0.732254,2513.17221985,0.74412,806
5361,0.0010125,-0.00781442,13221888,0.0111519,2558.2540509700775,867.86,0.012,413184,0.103184,0.6321699619293213,0.732254,2591.88839005,0.743732,807
5374,0.0010125,-0.0074382,13238272,0.0106597,2561.303119659424,860.47,0.012,413696,0.0691195,0.7999037951231003,0.732254,2546.78909137,0.727644,808
5310,0.0010125,-0.00666601,13254656,0.0096885,2564.388917684555,827.88,0.012,414208,0.0781552,0.6507775485515594,0.732254,2390.76956209,0.709277,809
5318,0.0010125,-0.0070267,13271040,0.0121956,2567.4701046943665,820.23,0.012,414720,0.0680279,0.5027137100696564,0.732254,2393.23638357,0.701215,810
5271,0.0010125,-0.00708354,13287424,0.0123187,2570.5783042907715,806.61,0.012,415232,0.0834053,0.6961298882961273,0.732254,2332.34391418,0.699182,811
5258,0.0010125,-0.00662973,13303808,0.0128029,2573.694495201111,798.22,0.012,415744,0.0638297,0.701610803604126,0.732254,2295.86680749,0.719148,812
